Designator,Mid X,Mid Y,Rotation,Layer
C1,71.52,-73.87,180.0,bottom
C2,80.8,-39.9,270.0,bottom
C3,80.7,-58.3,270.0,bottom
C4,90.6,-76.6,270.0,bottom
C5,80.5,-95.0,270.0,bottom
C6,27.53,-75.64,270.0,bottom
C7,27.53,-71.59,90.0,bottom
CN3,22.450001,-63.150003,270.0,bottom
LED1,147.0,-31.35,180.0,bottom
Q1,24.4775,-75.56,90.0,bottom
Q2,24.45375,-71.56875,90.0,bottom
R1,72.6,-63.19,90.0,bottom
R2,70.6,-63.18,90.0,bottom
R3,71.6,-63.18,90.0,bottom
R4,30.5,-70.61,90.0,bottom
R5,27.19,-70.0,180.0,bottom
R6,27.19,-69.0,180.0,bottom
R7,25.0,-78.5,180.0,bottom
R8,25.0,-79.5,180.0,bottom
U1,96.2,-34.575,180.0,bottom
U10,58.1,-34.575,180.0,bottom
U12,86.68,-53.625,180.0,bottom
U13,105.731667,-53.625,180.0,bottom
U14,67.628333,-53.625,180.0,bottom
U15,124.783333,-53.625,180.0,bottom
U16,48.576667,-53.625,180.0,bottom
U17,143.835,-53.625,180.0,bottom
U18,76.0,-53.3,0.0,bottom
U19,29.525,-53.625,180.0,bottom
U2,71.48,-70.5,90.0,bottom
U20,96.21,-72.675,180.0,bottom
U21,115.26,-72.675,180.0,bottom
U24,58.11,-72.675,180.0,bottom
U25,134.31,-72.675,180.0,bottom
U26,86.0,-71.65,0.0,bottom
U27,39.05,-72.675,180.0,bottom
U28,86.69,-91.725,180.0,bottom
U29,105.741667,-91.725,180.0,bottom
U3,76.0,-34.95,0.0,bottom
U30,67.638333,-91.725,180.0,bottom
U31,124.793333,-91.725,180.0,bottom
U32,48.586667,-91.725,180.0,bottom
U33,143.845,-91.725,180.0,bottom
U34,76.0,-90.0,0.0,bottom
U35,29.535,-91.725,180.0,bottom
U4,115.25,-34.575,180.0,bottom
U6,134.3,-34.575,180.0,bottom
U7,150.250001,-63.150003,90.0,bottom
U8,29.5575,-73.62,90.0,bottom
U9,39.05,-34.575,180.0,bottom
